driver_id,teammate_driver_rating,driver_name,races,seasons,constructors,avg_finish,avg_teammate_finish,teammate_win_rate,avg_finish_gap,avg_target,qualifying_win_rate,avg_points,avg_points_gap,avg_car_score,reliability,overall_rank,qualified_rank
bottas,-0.010589835395823366,Valtteri Bottas,247,12,4,8.96761133603239,8.65587044534413,0.4331983805668016,-0.3117408906882591,-0.08354407466927138,0.5425101214574899,7.238866396761134,-1.8481781376518218,74.99626517083398,High,44,36
gutierrez,-0.06193084995581011,Esteban Gutiérrez,59,3,2,15.067796610169491,13.847457627118644,0.4745762711864407,-1.2203389830508475,-0.1470824380011067,0.288135593220339,0.1016949152542373,-1.2542372881355932,54.14376463392156,Moderate,48,37
perez,-0.06213174873869287,Sergio Pérez,283,14,5,9.332155477031803,8.530035335689046,0.4098939929328622,-0.8021201413427562,-0.13719272983387365,0.42402826855123676,5.6007067137809186,-2.7367491166077738,72.64958238277275,High,49,38
giovinazzi,-0.07325663746770439,Antonio Giovinazzi,62,4,2,13.85483870967742,12.774193548387096,0.3548387096774194,-1.0806451612903225,-0.22282755238978358,0.5,0.3387096774193548,-0.5806451612903226,61.35998901108257,Moderate,51,39
buemi,-0.07987954976968625,Sébastien Buemi,38,2,1,14.289473684210526,13.236842105263158,0.4473684210526316,-1.0526315789473684,-0.15196701358034057,0.6052631578947368,0.6052631578947368,-0.21052631578947367,54.59022599447167,Moderate,52,40
lawson,-0.08858615638416045,Liam Lawson,35,3,3,12.82857142857143,11.82857142857143,0.37142857142857144,-1.0,-0.1989640547728961,0.22857142857142856,1.2571428571428571,-1.2571428571428571,64.78672132649189,Moderate,53,41
vergne,-0.08873023181893203,Jean-Éric Vergne,58,3,1,13.982758620689655,13.086206896551724,0.46551724137931033,-0.896551724137931,-0.11697115154272827,0.3103448275862069,0.8793103448275862,0.22413793103448276,57.157156804118955,Moderate,54,42
latifi,-0.09339522633985553,Nicholas Latifi,61,3,1,15.852459016393443,14.327868852459016,0.26229508196721313,-1.5245901639344261,-0.33740319360656473,0.18032786885245902,0.14754098360655737,-0.21311475409836064,53.39791301725496,Moderate,55,43
stroll,-0.10013850770314148,Lance Stroll,191,9,3,12.528795811518325,10.93193717277487,0.38219895287958117,-1.5968586387434556,-0.24807526288013076,0.25654450261780104,1.649214659685864,-1.5549738219895288,63.444819975036104,High,56,44
kvyat,-0.113873916208872,Daniil Kvyat,112,6,3,12.223214285714286,10.928571428571429,0.41964285714285715,-1.2946428571428572,-0.1984685463694411,0.4017857142857143,1.8035714285714286,-1.4375,61.53061392381005,Medium,57,45
